3288218.8961,4745916.4545,2700936.3036,0.333077,0.413216,0.842918,-0.088323
3288218.8961,4745916.4545,2700936.3036,0.333041,0.413204,0.842935,-0.088352
3288218.8962,4745916.4545,2700936.3035,0.333043,0.413212,0.842931,-0.088344
3288218.8962,4745916.4545,2700936.3035,0.333029,0.413179,0.842952,-0.088354
3288218.8962,4745916.4545,2700936.3035,0.333055,0.413223,0.842923,-0.088333
3288218.8962,4745916.4545,2700936.3036,0.333064,0.413241,0.842911,-0.088325
3288218.8963,4745916.4545,2700936.3036,0.333077,0.413233,0.842911,-0.088313
3288218.8962,4745916.4543,2700936.3038,0.333063,0.413211,0.842924,-0.088346
3288218.8962,4745916.4543,2700936.3038,0.33307,0.413201,0.842926,-0.088342
3288218.8962,4745916.4543,2700936.3038,0.333072,0.413204,0.842924,-0.088343
3288218.8962,4745916.4543,2700936.3038,0.333072,0.413204,0.842924,-0.088343
3288218.8962,4745916.4542,2700936.3038,0.33306,0.413218,0.842921,-0.088349
3288218.8962,4745916.4542,2700936.3038,0.33306,0.413218,0.842921,-0.088349
3288218.8963,4745916.4542,2700936.3038,0.333026,0.413171,0.842956,-0.088369
3288218.8963,4745916.4542,2700936.3038,0.333097,0.413214,0.84291,-0.088333
3288218.8963,4745916.4542,2700936.3038,0.333038,0.41318,0.842947,-0.088359
3288218.8963,4745916.4542,2700936.3038,0.333038,0.41318,0.842947,-0.088359
3288218.8963,4745916.4542,2700936.3037,0.333051,0.413173,0.842946,-0.088353
3288218.8963,4745916.4542,2700936.3037,0.333037,0.413244,0.842917,-0.088357
3288218.8963,4745916.4542,2700936.3037,0.333055,0.413233,0.842915,-0.088354
3288218.8964,4745916.4542,2700936.3037,0.333019,0.413226,0.842932,-0.088368
3288218.8964,4745916.4542,2700936.3037,0.333064,0.413237,0.842911,-0.08834
3288218.8964,4745916.4542,2700936.3037,0.333119,0.41325,0.842886,-0.088311
3288218.8964,4745916.4542,2700936.3037,0.333069,0.4132,0.842927,-0.088345
3288218.8964,4745916.4542,2700936.3037,0.333069,0.4132,0.842927,-0.088345
3288218.8962,4745916.4542,2700936.3037,0.333065,0.413194,0.842931,-0.088347
3288218.8966,4745916.4539,2700936.304,0.3331,0.413178,0.842926,-0.088341
3288218.8963,4745916.4535,2700936.3037,0.333075,0.413184,0.842929,-0.088378
3288218.8963,4745916.4535,2700936.3037,0.333075,0.413184,0.842929,-0.088378
3288218.8968,4745916.453,2700936.304,0.333106,0.413157,0.842931,-0.08837
3288218.8971,4745916.4524,2700936.3045,0.333146,0.413127,0.842931,-0.088357
3288218.8971,4745916.4524,2700936.3045,0.333146,0.413127,0.842931,-0.088357
3288218.8966,4745916.4522,2700936.3042,0.333172,0.4131,0.842932,-0.088377
3288218.8966,4745916.4521,2700936.3041,0.333151,0.413058,0.842959,-0.088393
3288218.8966,4745916.4521,2700936.3041,0.333151,0.413058,0.842959,-0.088393
3288218.8966,4745916.4521,2700936.3041,0.333151,0.413058,0.842959,-0.088393
3288218.8963,4745916.4529,2700936.304,0.333122,0.413039,0.842978,-0.088412
3288218.8965,4745916.4528,2700936.3025,0.333187,0.413037,0.842956,-0.088383
3288218.8965,4745916.4528,2700936.3025,0.333187,0.413037,0.842956,-0.088383
3288218.8964,4745916.4531,2700936.3022,0.333159,0.41302,0.842975,-0.088391
3288218.8964,4745916.4531,2700936.3022,0.333159,0.41302,0.842975,-0.088391
3288218.8955,4745916.4538,2700936.3028,0.333164,0.412988,0.842986,-0.08841
3288218.8954,4745916.4538,2700936.303,0.333108,0.412945,0.843027,-0.088433
3288218.895,4745916.454,2700936.3039,0.333127,0.412937,0.843023,-0.088435
3288218.895,4745916.454,2700936.3039,0.333127,0.412937,0.843023,-0.088435
3288218.897,4745916.4535,2700936.302,0.333158,0.41308,0.842951,-0.088344
3288218.8415,4745916.4629,2700936.3457,0.331027,0.413868,0.843675,-0.085719
3288218.8257,4745916.4656,2700936.3604,0.33117,0.41384,0.843743,-0.084621
3288218.8537,4745916.4626,2700936.3408,0.331053,0.414521,0.843528,-0.083887
3288218.9154,4745916.4499,2700936.2751,0.332042,0.413614,0.843348,-0.086228
3288218.9154,4745916.4499,2700936.2751,0.332042,0.413614,0.843348,-0.086228
3288218.9231,4745916.4501,2700936.2658,0.329517,0.416188,0.843575,-0.081163
3288218.7728,4745916.4898,2700936.4202,0.328099,0.416706,0.843969,-0.080149
3288218.758,4745916.4941,2700936.4335,0.327606,0.417405,0.843955,-0.078656
3288218.7379,4745916.4995,2700936.4438,0.326744,0.417778,0.844277,-0.076796
3288218.7258,4745916.5038,2700936.4534,0.326078,0.418814,0.84416,-0.075241
3288218.7144,4745916.5081,2700936.463,0.325091,0.419649,0.844291,-0.073373
3288218.6994,4745916.5105,2700936.475,0.324088,0.420599,0.844387,-0.071231
3288218.6677,4745916.5194,2700936.5036,0.32218,0.421278,0.84499,-0.068676
3288218.6529,4745916.5249,2700936.5154,0.320934,0.422372,0.845154,-0.06571
3288218.6196,4745916.5374,2700936.5443,0.31941,0.423413,0.845428,-0.062854
3288218.6045,4745916.543,2700936.5572,0.317721,0.42434,0.845823,-0.059768
3288218.592,4745916.5464,2700936.5692,0.316224,0.42554,0.845972,-0.057005
3288218.579,4745916.5507,2700936.5791,0.314468,0.426417,0.846403,-0.053662
3288218.5645,4745916.5569,2700936.5907,0.313112,0.427506,0.846537,-0.050731
3288218.5331,4745916.5702,2700936.617,0.312278,0.428241,0.846587,-0.048819
3288218.5191,4745916.5726,2700936.6312,0.311826,0.428467,0.846674,-0.048208
